friendly_name,cdc_name,iso3,note
new-caledonia,New Caledonia (France),NCL,geojson
new-zealand,New Zealand,NZL,geojson
nicaragua,Nicaragua,NIC,geojson
niger,Niger,NER,geojson
nigeria,Nigeria,NGA,geojson
niue,Niue (New Zealand),NIU,override
norfolk-island,Norfolk Island (Australia),NFK,override
north-korea,North Korea,PRK,geojson
north-macedonia,North Macedonia,MKD,geojson
northern-mariana-islands,"Northern Mariana Islands (U.S.), includes Saipan, Tinian, and Rota Island",MNP,override
norway,Norway,NOR,geojson
oman,Oman,OMN,geojson
pakistan,Pakistan,PAK,geojson
palau,Palau,PLW,override
panama,Panama,PAN,geojson
papua-new-guinea,Papua New Guinea,PNG,geojson
paraguay,Paraguay,PRY,geojson
peru,Peru,PER,geojson
philippines,Philippines,PHL,geojson
pitcairn-islands,Pitcairn Islands (U.K.),PCN,override
poland,Poland,POL,geojson
portugal,Portugal,PRT,geojson
puerto-rico,Puerto Rico (U.S.),PRI,geojson
qatar,Qatar,QAT,geojson
reunion,Réunion (France),REU,override
romania,Romania,ROU,geojson
russia,Russia,RUS,geojson
rwanda,Rwanda,RWA,geojson
saba,Saba (Netherlands),BES,override
saint-barthelemy,Saint Barthelemy (France),BLM,override
saint-helena,Saint Helena (U.K.),SHN,override
saint-lucia,Saint Lucia,LCA,override
saint-martin,Saint Martin (France),MAF,override
saint-pierre-and-miquelon,Saint Pierre and Miquelon (France),SPM,override
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines,VCT,override
samoa,Samoa (formerly Western Samoa),WSM,override
san-marino,San Marino,SMR,override
sao-tome-and-principe,São Tomé and Príncipe,STP,override
saudi-arabia,Saudi Arabia,SAU,geojson
senegal,Senegal,SEN,geojson
serbia,Serbia,SRB,geojson
seychelles,Seychelles,SYC,override
sierra-leone,Sierra Leone,SLE,geojson
singapore,Singapore,SGP,override
sint-eustatius,Sint Eustatius (Netherlands),BES,override
sint-maarten,Sint Maarten (Netherlands),SXM,override
slovakia,Slovakia,SVK,geojson
slovenia,Slovenia,SVN,geojson
solomon-islands,Solomon Islands,SLB,geojson
somalia,Somalia,SOM,geojson
south-africa,South Africa,ZAF,geojson
south-georgia-south-sandwich-islands,"South Georgia & the South Sandwich Islands (UK, also claimed by Argentina)",SGS,override
south-korea,South Korea ,KOR,geojson
south-sudan,South Sudan,SSD,geojson
spain,Spain,ESP,geojson
sri-lanka,Sri Lanka,LKA,geojson
st-kitts-and-nevis,Saint Kitts (Saint Christopher) & Nevis,KNA,override
sudan,Sudan,SDN,geojson
suriname,Suriname,SUR,geojson
sweden,Sweden,SWE,geojson
switzerland,Switzerland,CHE,geojson
syria,Syria,SYR,geojson
taiwan,Taiwan,TWN,geojson
tajikistan,Tajikistan,TJK,geojson
tanzania,Tanzania,TZA,geojson
thailand,Thailand,THA,geojson
the-bahamas,"Bahamas, The",BHS,geojson
the-gambia,"Gambia, The",GMB,geojson
togo,Togo,TGO,geojson
